"ID","CATEGORY","Site Name","State","Other site","Industry","Sample mat","Sample dat","PFOA (ppt)","PFOS (ppt)","PFOA+PFOS","Total PFAS","Notes and","Link to PF","Link to su","Federal/st","Site-speci","Site-spe_1","Site Name,","latitude","longitude","name","desc","color","source","precision","STATEFP","COUNTYFP","TRACTCE","AFFGEOID","GEOID","NAME_2","NAMELSAD","STUSPS","NAMELSADCO","STATE_NAME","LSAD","ALAND","AWATER","NAME","populationE","hisp_latinoE","whiteE","blackE","ai_anE","asianE","nh_piE","otherE","two_or_moreE","median_ageE","median_hh_incomeE","hh_with_under18E","born_in_USE","foreign_bornE","language_all_over_5E","language_englishE","language_not_englishE","language_not_english_very_wellE","language_spanishE","language_indo_euroE","language_asian_piE","language_otherE"
20,"Known","Cold Bay Airport Abdanoned Fire Station","Alaska",NA,"Fire Department/Training Facility","Soil",2019,3000,1100,NA,NA,"It is suspected that a 1,000-gallon underground storage tank used for heating oil is on site. Twelve 5-gallon containers of aqueous film forming foams were present in the dilapidated building. A metal vault filled with storm water was found near the conc","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27198",NA,NA,NA,"https://drive.google.com/drive/u/0/folders/1ZS0OFUv-IAstYlPFSnTX6JqCMJGIqw_r","Cold Bay Airport Abdanoned Fire Station, Alaska",55.2,-162.7,"Cold Bay Airport Abdanoned Fire Station, Alaska","Cold Bay, AK",NA,"Bing Maps","city/town","02","013","000100","1400000US02013000100","02013000100",1,"Census Tract 1","AK","Aleutians East Borough","Alaska","CT",18091672533,20799851130,"Census Tract 1, Aleutians East Borough, Alaska",3389,296,450,96,1382,815,11,14,325,44.1,75833,287,2272,941,3276,2088,1188,697,255,57,737,NA
21,"Known","Dillingham Airport","Alaska",NA,"Airport","Groundwater",2018,NA,NA,42,186,"The Holy Rosary Church well, used as the year-round public drinking water supply for 280 people because of varying degrees of rust/sulfur in private wells in the area, tested positive for PFAS contamination at levels more than twice DEC action levels. Co","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","http://dot.alaska.gov/airportwater/dillingham/","https://drive.google.com/drive/u/0/folders/1Pqq-f7i_7ijHLzsJe1OnzH-FW2xNc7mN",NA,"Dillingham Airport, Alaska",59.04,-158.5,"Dillingham Airport, Alaska","Dillingham Airport, AK",NA,"Bing Maps","Airport","02","070","000200","1400000US02070000200","02070000200",2,"Census Tract 2","AK","Dillingham Census Area","Alaska","CT",409774642,7184748,"Census Tract 2, Dillingham Census Area, Alaska",2133,149,471,25,1257,16,3,2,210,30.7,75789,332,2025,104,1941,1497,444,61,76,6,17,NA
23,"Known","Eielson Air Force Base","Alaska",NA,"Military","Groundwater",2019,16000,110000,121000,169100,"Firefighting foam used at Eielson Air Force Base; nearby community of Moose Creek, AK also impacted; selected as one of the sites for the ATSDR multisite exposure study","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Download?documentID=35728&fileName=26773_Final%20AFFF%20Site%20Investigation%20Report%20Eielson%20AFB%20AFFF%20022315.pdf","https://dec.alaska.gov/spar/csp/sites/eielson/","Alaska gov: https://dec.alaska.gov/spar/csp/sites/eielson/","https://drive.google.com/drive/folders/18GYmsaKd6IcJNawItRD7LLYdnLmO1yls","https://drive.google.com/drive/u/1/folders/1udCap1SXpVt2Rg8ln9Na0g0bZ60Mtkaq","Eielson Air Force Base, Alaska",64.69,-147.13,"Eielson Air Force Base, Alaska","Eielson Air Force Base, AK",NA,"Bing Maps","MilitaryBase","02","090","980100","1400000US02090980100","02090980100",9801,"Census Tract 9801","AK","Fairbanks North Star Borough","Alaska","CT",1158960753,3928687,"Census Tract 9801, Fairbanks North Star Borough, Alaska",3678,541,2865,101,17,57,0,0,97,23.6,70912,570,3473,98,3256,2985,271,46,230,22,9,NA
24,"Known","Fairbanks International Airport","Alaska",NA,"Airport","Groundwater",2018,7400,660000,NA,740000,"AFFF used at the airport","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://dec.alaska.gov/spar/csp/sites/fairbanks-international-airport-pfas",NA,NA,"Fairbanks International Airport, Alaska",64.81,-147.85,"Fairbanks International Airport, Alaska","Fairbanks International Airport, AK",NA,"Bing Maps","Airport","02","090","001000","1400000US02090001000","02090001000",10,"Census Tract 10","AK","Fairbanks North Star Borough","Alaska","CT",36684984,14288852,"Census Tract 10, Fairbanks North Star Borough, Alaska",1228,9,857,0,151,0,12,26,173,38.2,93750,137,1193,0,1149,942,207,31,0,55,12,NA
25,"Known","Fairbanks International Airport Fire Training Pit","Alaska",NA,"Fire Department/Training Facility","Groundwater",2018,490,86,537,17858,NA,"https://drive.google.com/file/d/1bVMeToVP5p39V0012r3xQgOjQ7Saubdn/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/1071","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/1071","https://drive.google.com/drive/u/0/folders/1NGq-vI5CZFAGGiIsS_an6gjwYfOULQMZ","https://drive.google.com/drive/u/0/folders/1vxlZOfP1LZ1e7DLwLc8g44AeHDgJqufb","Fairbanks International Airport Fire Training Pit, Alaska",64.81,-147.85,"Fairbanks International Airport Fire Training Pit, Alaska","Fairbanks International Airport, AK",NA,"Bing Maps","Airport","02","090","001000","1400000US02090001000","02090001000",10,"Census Tract 10","AK","Fairbanks North Star Borough","Alaska","CT",36684984,14288852,"Census Tract 10, Fairbanks North Star Borough, Alaska",1228,9,857,0,151,0,12,26,173,38.2,93750,137,1193,0,1149,942,207,31,0,55,12,NA
26,"Known","Fairbanks Regional Fire Training Center","Alaska",NA,"Fire Department/Training Facility","Groundwater",2018,7400,66000,NA,143310,"Firefighting foam used from 1984 to 2004 in fire training exercises at the Regional Fire Training Center","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Download?documentID=34519&fileName=26309_Report_2018.04.01%20RFTC%20SummaryRpt1_Redacted.pdf","https://dec.alaska.gov/spar/csp/sites/fairbanks-fire-training-center","ADEC RFTC: https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26309
ADEC FAI: https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26816","https://drive.google.com/drive/folders/1hcNu6XG6b9NhR4lisbyRZfOLEQdx6uCz",NA,"Fairbanks Regional Fire Training Center, Alaska",64.83,-147.73,"Fairbanks Regional Fire Training Center, Alaska","Fairbanks, AK",NA,"Bing Maps","city/town","02","090","000300","1400000US02090000300","02090000300",3,"Census Tract 3","AK","Fairbanks North Star Borough","Alaska","CT",2894938,0,"Census Tract 3, Fairbanks North Star Borough, Alaska",4114,333,2364,192,713,154,0,0,358,27.7,53801,523,3856,113,3818,3279,539,195,109,137,81,NA
27,"Known","Fairbanks Regional Fire Training Center Burn Pit","Alaska",NA,"Fire Department/Training Facility","Groundwater",2015,7800,550000,NA,NA,NA,"https://drive.google.com/file/d/1_w_hJzHQaRaAtwWK_yAl87cJLdw78rna/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26309","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26309","https://drive.google.com/drive/u/0/folders/1UsZ2OOquxHEaq_DqrfzHW0-fERO50hbs","https://drive.google.com/drive/u/0/folders/1dpUXCBINLuuXNwA_4GHhLbFxBnoPpMq9","Fairbanks Regional Fire Training Center Burn Pit, Alaska",64.83,-147.73,"Fairbanks Regional Fire Training Center Burn Pit, Alaska","Fairbanks, AK",NA,"Bing Maps","city/town","02","090","000300","1400000US02090000300","02090000300",3,"Census Tract 3","AK","Fairbanks North Star Borough","Alaska","CT",2894938,0,"Census Tract 3, Fairbanks North Star Borough, Alaska",4114,333,2364,192,713,154,0,0,358,27.7,53801,523,3856,113,3818,3279,539,195,109,137,81,NA
29,"Known","Former Kulis Air National Guard Base","Alaska",NA,"Military","Groundwater",2016,8400,7600,16040,43493,"AFFF was used at the former Kulis Air National Guard Base","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf",NA,"http://afcec.publicadmin-record.us.af.mil/","https://drive.google.com/drive/u/0/folders/1MgWM0Q9l5hJUffSkhmwN17tYaI45eyj3","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","Former Kulis Air National Guard Base, Alaska",61.16,-149.97,"Former Kulis Air National Guard Base, Alaska","Kulis Air National Guard Base, AK",NA,"Bing Maps","TouristStructure","02","020","002301","1400000US02020002301","02020002301",23.01,"Census Tract 23.01","AK","Anchorage Municipality","Alaska","CT",50814199,218718249,"Census Tract 23.01, Anchorage Municipality, Alaska",8016,518,4996,28,373,1139,165,104,693,37,136677,1451,6480,1241,7602,6375,1227,488,325,200,657,NA
30,"Known","Fort Greely","Alaska",NA,"Military","Groundwater",2016,18,90,99,NA,"Source of contamination was use of AFFF at Fort Greely","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://dec.alaska.gov/spar/csp/sites/fort-greely/","https://drive.google.com/drive/u/0/folders/1ohuXhJvChvpKihZsjZt7ZMbVvd9S61Bm","https://drive.google.com/drive/u/0/folders/1FCp5HfzFngp7nEVfgiNXf7lWQN5yv-Gd","Fort Greely, Alaska",63.97,-145.72,"Fort Greely, Alaska","Fort Greely, AK",NA,"Bing Maps","city/town","02","240","000400","1400000US02240000400","02240000400",4,"Census Tract 4","AK","Southeast Fairbanks Census Area","Alaska","CT",17426942443,374184919,"Census Tract 4, Southeast Fairbanks Census Area, Alaska",4383,438,3596,48,59,100,4,0,138,35.3,77188,500,3796,413,4086,3310,776,313,186,461,104,NA
31,"Known","Fort Wainwright","Alaska",NA,"Military","Groundwater",2013,440,3300,NA,NA,"Along with known AFFF use at fire training pits, other potential sources of PFAS contamination include hangar fires and plane crashes that DEC and EPA acknowledge have occurred at Fort Wainwright.","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://dec.alaska.gov/spar/csp/pfas/","https://drive.google.com/drive/u/1/folders/1H7ZfwZ2tWTreq7QslGxWgo8-YR-4cNto","https://drive.google.com/drive/folders/1k6a7_97ZeyTIu82WPLDuuqYe2V1TBPqJ","Fort Wainwright, Alaska",64.83,-145.51,"Fort Wainwright, Alaska","Fort Wainwright, AK",NA,"Bing Maps","MilitaryBase","02","090","001902","1400000US02090001902","02090001902",19.02,"Census Tract 19.02","AK","Fairbanks North Star Borough","Alaska","CT",8744774237,3578709,"Census Tract 19.02, Fairbanks North Star Borough, Alaska",5068,363,3483,0,916,45,0,0,261,42.5,77383,587,4739,268,4835,4393,442,72,211,96,0,NA
34,"Known","Gustavus Airport","Alaska","Gustavus Fire Dept brush fire emergency response","Airport","Groundwater",NA,NA,NA,NA,6729,"The source of contamination was the use of AFFF at Gustavus Airport and the Gustavus Volunteer Fire Department during a brush fire response. The National Park Service installed a GAC filter to remove PFAS from the NPS well and provide safer water to Park","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://alaska-native-news.com/pfas-discovered-in-groundwater-near-gustavus-airport-firefighting-foam-discharge-areas/36993/","ADEC: http://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26904","https://drive.google.com/drive/folders/1imOX_yct6FP0_YHn-BUSbXX_5dOy1-j6","https://drive.google.com/drive/u/0/folders/1oo6i_uXsK7PMjNsS5AXTL-sUPSJm4l4A","Gustavus Airport, Alaska",58.42,-135.7,"Gustavus Airport, Alaska","Gustavus Airport, AK",NA,"Bing Maps","Airport","02","105","000400","1400000US02105000400","02105000400",4,"Census Tract 4","AK","Hoonah-Angoon Census Area","Alaska","CT",16978039504,7804886156,"Census Tract 4, Hoonah-Angoon Census Area, Alaska",2135,198,973,68,655,49,0,0,192,52.1,59926,127,2026,98,2070,1822,248,48,54,47,42,NA
37,"Known","Homer Airport","Alaska",NA,"Airport","Drinking Water",2021,1,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27309","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27309","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27309",NA,NA,"Homer Airport, Alaska",59.64,-151.47,"Homer Airport, Alaska","Homer Airport, AK",NA,"Bing Maps","Airport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Known","Iliamna Airport","Alaska",NA,"Airport","Drinking Water",2021,NA,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27265","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27265","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27265",NA,"https://drive.google.com/drive/u/0/folders/1ITn-iyEDTCvgDQvQSJFDlFe9bMPLtgah","Iliamna Airport, Alaska",59.75,-154.87,"Iliamna Airport, Alaska","Iliamna, AK",NA,"Bing Maps","city/town","02","164","000100","1400000US02164000100","02164000100",1,"Census Tract 1","AK","Lake and Peninsula Borough","Alaska","CT",61724164724,25989695209,"Census Tract 1, Lake and Peninsula Borough, Alaska",1156,3,279,80,679,26,3,1,85,32.9,48750,147,1050,98,1072,920,152,41,6,14,23,NA
39,"Known","Joint Base Elmendorf-Richardson","Alaska","Elmendorf Air Force Base, Fort Richardson","Military","Groundwater",2016,5100,24000,29100,46532,"AFFF was used at the base. Data indicate that ST037 and LF004 seeps, located at the southern and southwestern Baseboundaries, have been impacted by PFAS in groundwater and may be migrating offbase in groundwater and surface water. Groundwater at JBER is","https://drive.google.com/file/d/1X-eL3ceCZ2Lkm-Q6jHr8ve5wsoICEis9/view?usp=sharing",NA,"http://afcec.publicadmin-record.us.af.mil/","https://drive.google.com/drive/u/0/folders/1MgWM0Q9l5hJUffSkhmwN17tYaI45eyj3","https://drive.google.com/drive/u/0/folders/1RtWzvyemLSZMtSQkRkawBw0shzMLGVAU","Joint Base Elmendorf-Richardson, Alaska",61.25,-149.69,"Joint Base Elmendorf-Richardson, Alaska","Joint Base Elmendorf Richardson, AK",NA,"Bing Maps","city/town","02","020","980200","1400000US02020980200","02020980200",9802,"Census Tract 9802","AK","Anchorage Municipality","Alaska","CT",247513952,56866406,"Census Tract 9802, Anchorage Municipality, Alaska",8604,1968,4636,848,180,126,193,0,653,21.8,52227,1314,7800,378,7337,6026,1311,76,1030,103,102,NA
40,"Known","Juneau Airport","Alaska",NA,"Airport","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://drive.google.com/drive/u/0/folders/1FptYO-nwhR3NnvgZBzuq2DPH8lxQ4HYN","Juneau Airport, Alaska",58.35,-134.57,"Juneau Airport, Alaska","Juneau International Airport, AK",NA,"Bing Maps","Airport","02","110","000300","1400000US02110000300","02110000300",3,"Census Tract 3","AK","Juneau City and Borough","Alaska","CT",13009152,1983202,"Census Tract 3, Juneau City and Borough, Alaska",5550,580,3278,45,225,284,84,0,1054,35.2,95779,845,5116,310,5070,4504,566,102,246,58,262,NA
41,"Known","King Salmon Air Force Station","Alaska","King Salmon Airport","Military","Groundwater",2019,9800,96000,96340,96428,"AFFF was used at King Salmon Airport","https://drive.google.com/file/d/1yQxHK32cznxDIPgMCjE5lqcjNNnTbr5X/view?usp=sharing","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","http://dot.alaska.gov/airportwater/kingsalmon/","https://drive.google.com/drive/u/1/folders/1kFGQ8Liwjlo5r2hiPfm5Z6Dvb6I4jPZn","https://drive.google.com/drive/u/0/folders/1WEmeFch44FEPrOXfpBe2aHXUnJOW9WF5","King Salmon Air Force Station, Alaska",58.69,-156.67,"King Salmon Air Force Station, Alaska","King Salmon Air Force Station, AK",NA,"Bing Maps","LandmarkBuilding","02","060","000100","1400000US02060000100","02060000100",1,"Census Tract 1","AK","Bristol Bay Borough","Alaska","CT",1248315815,949775630,"Census Tract 1, Bristol Bay Borough, Alaska",739,75,354,4,219,17,9,4,57,44.8,79808,75,693,27,689,633,56,16,19,1,16,NA
