"ID","CATEGORY","Site Name","State","Other site","Industry","Sample mat","Sample dat","PFOA (ppt)","PFOS (ppt)","PFOA+PFOS","Total PFAS","Notes and","Link to PF","Link to su","Federal/st","Site-speci","Site-spe_1","Site Name,","latitude","longitude","name","desc","color","source","precision","ZCTA5CE20","GEOID20","CLASSFP20","MTFCC20","FUNCSTAT20","ALAND20","AWATER20","INTPTLAT20","INTPTLON20","NAME","populationE","hisp_latinoE","whiteE","blackE","ai_anE","asianE","nh_piE","otherE","two_or_moreE","median_ageE","median_hh_incomeE","hh_with_under18E","born_in_USE","foreign_bornE","language_all_over_5E","language_englishE","language_not_englishE","language_not_english_very_wellE","language_spanishE","language_indo_euroE","language_asian_piE","language_otherE"
20,"Known","Cold Bay Airport Abdanoned Fire Station","Alaska",NA,"Fire Department/Training Facility","Soil",2019,3000,1100,NA,NA,"It is suspected that a 1,000-gallon underground storage tank used for heating oil is on site. Twelve 5-gallon containers of aqueous film forming foams were present in the dilapidated building. A metal vault filled with storm water was found near the conc","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27198",NA,NA,NA,"https://drive.google.com/drive/u/0/folders/1ZS0OFUv-IAstYlPFSnTX6JqCMJGIqw_r","Cold Bay Airport Abdanoned Fire Station, Alaska",55.2,-162.7,"Cold Bay Airport Abdanoned Fire Station, Alaska","Cold Bay, AK",NA,"Bing Maps","city/town","99571","99571","B5","G6350","S",150191285,23497251,55.2661706,-162.8047444,"ZCTA5 99571",221,11,51,1,86,69,0,0,3,44.9,104861,3,194,16,221,195,26,1,3,1,18,NA
21,"Known","Dillingham Airport","Alaska",NA,"Airport","Groundwater",2018,NA,NA,42,186,"The Holy Rosary Church well, used as the year-round public drinking water supply for 280 people because of varying degrees of rust/sulfur in private wells in the area, tested positive for PFAS contamination at levels more than twice DEC action levels. Co","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","http://dot.alaska.gov/airportwater/dillingham/","https://drive.google.com/drive/u/0/folders/1Pqq-f7i_7ijHLzsJe1OnzH-FW2xNc7mN",NA,"Dillingham Airport, Alaska",59.04,-158.5,"Dillingham Airport, Alaska","Dillingham Airport, AK",NA,"Bing Maps","Airport","99576","99576","B5","G6350","S",29607891618,1344339828,59.3610443,-158.8229233,"ZCTA5 99576",2384,149,498,25,1469,16,3,2,222,30.2,72857,366,2274,106,2174,1664,510,83,79,9,17,NA
23,"Known","Eielson Air Force Base","Alaska",NA,"Military","Groundwater",2019,16000,110000,121000,169100,"Firefighting foam used at Eielson Air Force Base; nearby community of Moose Creek, AK also impacted; selected as one of the sites for the ATSDR multisite exposure study","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Download?documentID=35728&fileName=26773_Final%20AFFF%20Site%20Investigation%20Report%20Eielson%20AFB%20AFFF%20022315.pdf","https://dec.alaska.gov/spar/csp/sites/eielson/","Alaska gov: https://dec.alaska.gov/spar/csp/sites/eielson/","https://drive.google.com/drive/folders/18GYmsaKd6IcJNawItRD7LLYdnLmO1yls","https://drive.google.com/drive/u/1/folders/1udCap1SXpVt2Rg8ln9Na0g0bZ60Mtkaq","Eielson Air Force Base, Alaska",64.69,-147.13,"Eielson Air Force Base, Alaska","Eielson Air Force Base, AK",NA,"Bing Maps","MilitaryBase","99705","99705","B5","G6350","S",370508437,10104249,64.773899,-147.267614,"ZCTA5 99705",23633,1660,17709,871,1641,329,274,0,1149,31.2,85739,3068,22087,760,21986,20632,1354,136,288,366,388,NA
24,"Known","Fairbanks International Airport","Alaska",NA,"Airport","Groundwater",2018,7400,660000,NA,740000,"AFFF used at the airport","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://dec.alaska.gov/spar/csp/sites/fairbanks-international-airport-pfas",NA,NA,"Fairbanks International Airport, Alaska",64.81,-147.85,"Fairbanks International Airport, Alaska","Fairbanks International Airport, AK",NA,"Bing Maps","Airport","99709","99709","B5","G6350","S",1321421906,34746077,64.8773504,-148.1485696,"ZCTA5 99709",29574,1978,20461,1015,2018,1428,53,14,2607,35,77756,3409,26184,1863,27514,24508,3006,917,972,665,883,NA
25,"Known","Fairbanks International Airport Fire Training Pit","Alaska",NA,"Fire Department/Training Facility","Groundwater",2018,490,86,537,17858,NA,"https://drive.google.com/file/d/1bVMeToVP5p39V0012r3xQgOjQ7Saubdn/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/1071","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/1071","https://drive.google.com/drive/u/0/folders/1NGq-vI5CZFAGGiIsS_an6gjwYfOULQMZ","https://drive.google.com/drive/u/0/folders/1vxlZOfP1LZ1e7DLwLc8g44AeHDgJqufb","Fairbanks International Airport Fire Training Pit, Alaska",64.81,-147.85,"Fairbanks International Airport Fire Training Pit, Alaska","Fairbanks International Airport, AK",NA,"Bing Maps","Airport","99709","99709","B5","G6350","S",1321421906,34746077,64.8773504,-148.1485696,"ZCTA5 99709",29574,1978,20461,1015,2018,1428,53,14,2607,35,77756,3409,26184,1863,27514,24508,3006,917,972,665,883,NA
26,"Known","Fairbanks Regional Fire Training Center","Alaska",NA,"Fire Department/Training Facility","Groundwater",2018,7400,66000,NA,143310,"Firefighting foam used from 1984 to 2004 in fire training exercises at the Regional Fire Training Center","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Download?documentID=34519&fileName=26309_Report_2018.04.01%20RFTC%20SummaryRpt1_Redacted.pdf","https://dec.alaska.gov/spar/csp/sites/fairbanks-fire-training-center","ADEC RFTC: https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26309
ADEC FAI: https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26816","https://drive.google.com/drive/folders/1hcNu6XG6b9NhR4lisbyRZfOLEQdx6uCz",NA,"Fairbanks Regional Fire Training Center, Alaska",64.83,-147.73,"Fairbanks Regional Fire Training Center, Alaska","Fairbanks, AK",NA,"Bing Maps","city/town","99701","99701","B5","G6350","S",1412051259,11806929,67.3754297,-149.7284579,"ZCTA5 99701",16578,1108,10156,892,2021,680,173,46,1502,34.5,64153,1886,15001,1042,15410,13274,2136,761,450,280,764,NA
27,"Known","Fairbanks Regional Fire Training Center Burn Pit","Alaska",NA,"Fire Department/Training Facility","Groundwater",2015,7800,550000,NA,NA,NA,"https://drive.google.com/file/d/1_w_hJzHQaRaAtwWK_yAl87cJLdw78rna/view?usp=sharing","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26309","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26309","https://drive.google.com/drive/u/0/folders/1UsZ2OOquxHEaq_DqrfzHW0-fERO50hbs","https://drive.google.com/drive/u/0/folders/1dpUXCBINLuuXNwA_4GHhLbFxBnoPpMq9","Fairbanks Regional Fire Training Center Burn Pit, Alaska",64.83,-147.73,"Fairbanks Regional Fire Training Center Burn Pit, Alaska","Fairbanks, AK",NA,"Bing Maps","city/town","99701","99701","B5","G6350","S",1412051259,11806929,67.3754297,-149.7284579,"ZCTA5 99701",16578,1108,10156,892,2021,680,173,46,1502,34.5,64153,1886,15001,1042,15410,13274,2136,761,450,280,764,NA
29,"Known","Former Kulis Air National Guard Base","Alaska",NA,"Military","Groundwater",2016,8400,7600,16040,43493,"AFFF was used at the former Kulis Air National Guard Base","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf",NA,"http://afcec.publicadmin-record.us.af.mil/","https://drive.google.com/drive/u/0/folders/1MgWM0Q9l5hJUffSkhmwN17tYaI45eyj3","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27266","Former Kulis Air National Guard Base, Alaska",61.16,-149.97,"Former Kulis Air National Guard Base, Alaska","Kulis Air National Guard Base, AK",NA,"Bing Maps","TouristStructure","99502","99502","B5","G6350","S",45482278,1558923,61.1636523,-149.9966425,"ZCTA5 99502",25215,2299,14883,545,2297,2040,516,104,2531,33,94355,4014,21740,2678,23682,19565,4117,1063,1223,587,1786,NA
30,"Known","Fort Greely","Alaska",NA,"Military","Groundwater",2016,18,90,99,NA,"Source of contamination was use of AFFF at Fort Greely","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://dec.alaska.gov/spar/csp/sites/fort-greely/","https://drive.google.com/drive/u/0/folders/1ohuXhJvChvpKihZsjZt7ZMbVvd9S61Bm","https://drive.google.com/drive/u/0/folders/1FCp5HfzFngp7nEVfgiNXf7lWQN5yv-Gd","Fort Greely, Alaska",63.97,-145.72,"Fort Greely, Alaska","Fort Greely, AK",NA,"Bing Maps","city/town","99737","99737","B5","G6350","S",14171518073,243647832,63.4434997,-145.2956149,"ZCTA5 99737",4660,438,3860,48,67,100,4,0,143,36,73456,506,4071,415,4322,3547,775,313,186,461,104,NA
31,"Known","Fort Wainwright","Alaska",NA,"Military","Groundwater",2013,440,3300,NA,NA,"Along with known AFFF use at fire training pits, other potential sources of PFAS contamination include hangar fires and plane crashes that DEC and EPA acknowledge have occurred at Fort Wainwright.","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://dec.alaska.gov/spar/csp/pfas/","https://drive.google.com/drive/u/1/folders/1H7ZfwZ2tWTreq7QslGxWgo8-YR-4cNto","https://drive.google.com/drive/folders/1k6a7_97ZeyTIu82WPLDuuqYe2V1TBPqJ","Fort Wainwright, Alaska",64.83,-145.51,"Fort Wainwright, Alaska","Fort Wainwright, AK",NA,"Bing Maps","MilitaryBase","99712","99712","B5","G6350","S",8453966819,936009,65.058583,-145.9256456,"ZCTA5 99712",13887,1156,9954,82,1373,214,0,39,1069,39.9,89688,1764,13103,466,13130,12215,915,186,285,351,118,NA
34,"Known","Gustavus Airport","Alaska","Gustavus Fire Dept brush fire emergency response","Airport","Groundwater",NA,NA,NA,NA,6729,"The source of contamination was the use of AFFF at Gustavus Airport and the Gustavus Volunteer Fire Department during a brush fire response. The National Park Service installed a GAC filter to remove PFAS from the NPS well and provide safer water to Park","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","https://alaska-native-news.com/pfas-discovered-in-groundwater-near-gustavus-airport-firefighting-foam-discharge-areas/36993/","ADEC: http://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26904","https://drive.google.com/drive/folders/1imOX_yct6FP0_YHn-BUSbXX_5dOy1-j6","https://drive.google.com/drive/u/0/folders/1oo6i_uXsK7PMjNsS5AXTL-sUPSJm4l4A","Gustavus Airport, Alaska",58.42,-135.7,"Gustavus Airport, Alaska","Gustavus Airport, AK",NA,"Bing Maps","Airport","99826","99826","B5","G6350","S",142838105,940018,58.41229,-135.8086256,"ZCTA5 99826",493,7,438,0,30,0,0,0,18,53.2,64792,31,476,7,492,478,14,0,0,14,0,NA
37,"Known","Homer Airport","Alaska",NA,"Airport","Drinking Water",2021,1,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27309","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27309","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27309",NA,NA,"Homer Airport, Alaska",59.64,-151.47,"Homer Airport, Alaska","Homer Airport, AK",NA,"Bing Maps","Airport","99603","99603","B5","G6350","S",2768266178,253853088,59.5385186,-151.1869272,"ZCTA5 99603",10872,507,8717,33,715,198,17,22,663,40.4,66150,1090,10247,441,10153,8992,1161,262,231,560,185,NA
38,"Known","Iliamna Airport","Alaska",NA,"Airport","Drinking Water",2021,NA,NA,NA,NA,NA,"https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27265","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27265","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/27265",NA,"https://drive.google.com/drive/u/0/folders/1ITn-iyEDTCvgDQvQSJFDlFe9bMPLtgah","Iliamna Airport, Alaska",59.75,-154.87,"Iliamna Airport, Alaska","Iliamna, AK",NA,"Bing Maps","city/town","99606","99606","B5","G6350","S",166345906,10457919,59.7370569,-154.9024142,"ZCTA5 99606",275,3,35,0,216,0,0,0,21,30.1,42321,52,273,0,243,209,34,10,0,0,0,NA
39,"Known","Joint Base Elmendorf-Richardson","Alaska","Elmendorf Air Force Base, Fort Richardson","Military","Groundwater",2016,5100,24000,29100,46532,"AFFF was used at the base. Data indicate that ST037 and LF004 seeps, located at the southern and southwestern Baseboundaries, have been impacted by PFAS in groundwater and may be migrating offbase in groundwater and surface water. Groundwater at JBER is","https://drive.google.com/file/d/1X-eL3ceCZ2Lkm-Q6jHr8ve5wsoICEis9/view?usp=sharing",NA,"http://afcec.publicadmin-record.us.af.mil/","https://drive.google.com/drive/u/0/folders/1MgWM0Q9l5hJUffSkhmwN17tYaI45eyj3","https://drive.google.com/drive/u/0/folders/1RtWzvyemLSZMtSQkRkawBw0shzMLGVAU","Joint Base Elmendorf-Richardson, Alaska",61.25,-149.69,"Joint Base Elmendorf-Richardson, Alaska","Joint Base Elmendorf Richardson, AK",NA,"Bing Maps","city/town","99505","99505","B5","G6350","S",108161837,1303179,61.2847446,-149.6539729,"ZCTA5 99505",6054,1653,3060,483,38,96,121,0,603,20.6,70757,946,5355,318,5217,4086,1131,76,956,103,72,NA
40,"Known","Juneau Airport","Alaska",NA,"Airport","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://drive.google.com/drive/u/0/folders/1FptYO-nwhR3NnvgZBzuq2DPH8lxQ4HYN","Juneau Airport, Alaska",58.35,-134.57,"Juneau Airport, Alaska","Juneau International Airport, AK",NA,"Bing Maps","Airport","99801","99801","B5","G6350","S",5699091058,631231917,58.3729099,-134.1784454,"ZCTA5 99801",29839,1992,18862,254,2910,2105,369,7,3340,38.5,89004,3539,26629,2594,28151,24617,3534,1357,1028,422,1571,NA
41,"Known","King Salmon Air Force Station","Alaska","King Salmon Airport","Military","Groundwater",2019,9800,96000,96340,96428,"AFFF was used at King Salmon Airport","https://drive.google.com/file/d/1yQxHK32cznxDIPgMCjE5lqcjNNnTbr5X/view?usp=sharing","https://www.akaction.org/wp-content/uploads/Report-Threats-to-Drinking-Water-and-Public-Health-in-Alaska-FINAL-web-version-9-24-19.pdf","http://dot.alaska.gov/airportwater/kingsalmon/","https://drive.google.com/drive/u/1/folders/1kFGQ8Liwjlo5r2hiPfm5Z6Dvb6I4jPZn","https://drive.google.com/drive/u/0/folders/1WEmeFch44FEPrOXfpBe2aHXUnJOW9WF5","King Salmon Air Force Station, Alaska",58.69,-156.67,"King Salmon Air Force Station, Alaska","King Salmon Air Force Station, AK",NA,"Bing Maps","LandmarkBuilding","99613","99613","B5","G6350","S",3152744755,250854460,59.0709177,-155.3775089,"ZCTA5 99613",392,37,210,4,100,17,0,4,20,39.7,88750,49,361,16,359,294,65,24,10,1,15,NA
43,"Known","Naval Base Kitsap - Naval Arctic Research Lab Barrow","Alaska",NA,"Military","Groundwater",2017,86,176,262,NA,"AFFF was used at Naval Base Kitsap, contaminating nearby Imikpuk Lake. Surface water (Imikpuk Lake) sampled; serves as intermittent water source for hunters and village elders. All 5 surface water samples detected above the LHA","https://www.denix.osd.mil/derp/home/documents/pfos-pfoa-briefing-to-the-hasc/FY18%20HASC%20Brief%20on%20PFOS-PFOA_Mar2018.pdf","https://partner-mco-archive.s3.amazonaws.com/client_files/1524589484.pdf","https://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/SiteReport/26855","https://drive.google.com/drive/folders/1j3sfLktZVP6m9D8ILnP893YuSccAu1mv",NA,"Naval Base Kitsap - Naval Arctic Research Lab Barrow, Alaska",71.29,-156.79,"Naval Base Kitsap - Naval Arctic Research Lab Barrow, Alaska","Utqiagvik, AK",NA,"Bing Maps","city/town","99723","99723","B5","G6350","S",48899960,8344897,71.2538615,-156.7982464,"ZCTA5 99723",4360,202,352,113,2661,378,175,0,479,28.2,87870,631,3737,425,3992,2016,1976,385,98,111,448,NA
1,"Known","Brookhaven/Aquadome Landfill","Alabama",NA,"Landfill","Groundwater",2019,NA,3770,NA,NA,NA,"https://whnt.com/news/decatur/3m-study-finds-high-concentrations-of-pfas-chemicals-at-3-closed-morgan-county-landfills/","https://whnt.com/news/decatur/3m-study-finds-high-concentrations-of-pfas-chemicals-at-3-closed-morgan-county-landfills/","http://adem.alabama.gov/programs/water/drinkingwater/pfaspage.cnt",NA,NA,"Brookhaven/Aquadome Landfill, Alabama",34.62,-87.13,NA,NA,NA,NA,NA,"35673","35673","B5","G6350","S",119771822,1280297,34.5859416,-87.1384527,"ZCTA5 35673",7971,648,6374,250,496,26,0,4,173,40.4,55213,979,7810,113,7487,7181,306,148,301,5,0,NA
